"pclass","survived","name","sex","age","sibsp","parch","ticket","fare","cabin","embarked","boat","body","home.dest","has_cabin_number"
1,1,Allen, Miss. Elisabeth Walton,female,NULL,0,0,24160,211.3375,B5,S,NULL,NA,St Louis, MO,1
1,1,Allison, Master. Hudson Trevor,male,NULL,1,2,113781,151.55,C22 C26,S,NULL,NA,Montreal, PQ / Chesterville, ON,1
1,0,Allison, Miss. Helen Loraine,female,NULL,1,2,113781,151.55,C22 C26,S,None,NA,Montreal, PQ / Chesterville, ON,1
1,0,Allison, Mr. Hudson Joshua Creighton,male,NULL,1,2,113781,151.55,C22 C26,S,None,135,Montreal, PQ / Chesterville, ON,1
1,0,Allison, Mrs. Hudson J C (Bessie Waldo Daniels),female,NULL,1,2,113781,151.55,C22 C26,S,None,NA,Montreal, PQ / Chesterville, ON,1
1,1,Anderson, Mr. Harry,male,NULL,0,0,19952,26.55,E12,S,NULL,NA,New York, NY,1
1,1,Andrews, Miss. Kornelia Theodosia,female,NULL,1,0,13502,77.9583,D7,S,NULL,NA,Hudson, NY,1
1,0,Andrews, Mr. Thomas Jr,male,NULL,0,0,112050,0,A36,S,None,NA,Belfast, NI,1
1,1,Appleton, Mrs. Edward Dale (Charlotte Lamson),female,NULL,2,0,11769,51.4792,C101,S,NULL,NA,Bayside, Queens, NY,1
1,0,Artagaveytia, Mr. Ramon,male,NULL,0,0,PC 17609,49.5042,,C,None,22,Montevideo, Uruguay,0
1,0,Astor, Col. John Jacob,male,NULL,1,0,PC 17757,227.525,C62 C64,C,None,124,New York, NY,1
1,1,Astor, Mrs. John Jacob (Madeleine Talmadge Force),female,NULL,1,0,PC 17757,227.525,C62 C64,C,NULL,NA,New York, NY,1
1,1,Aubart, Mme. Leontine Pauline,female,NULL,0,0,PC 17477,69.3,B35,C,NULL,NA,Paris, France,1
1,1,Barber, Miss. Ellen "Nellie",female,NULL,0,0,19877,78.85,,S,NULL,NA,,0
1,1,Barkworth, Mr. Algernon Henry Wilson,male,NULL,0,0,27042,30,A23,S,NULL,NA,Hessle, Yorks,1
1,0,Baumann, Mr. John D,male,NA,0,0,PC 17318,25.925,,S,None,NA,New York, NY,0
1,0,Baxter, Mr. Quigg Edmond,male,NULL,0,1,PC 17558,247.5208,B58 B60,C,None,NA,Montreal, PQ,1
1,1,Baxter, Mrs. James (Helene DeLaudeniere Chaput),female,NULL,0,1,PC 17558,247.5208,B58 B60,C,NULL,NA,Montreal, PQ,1
1,1,Bazzani, Miss. Albina,female,NULL,0,0,11813,76.2917,D15,C,NULL,NA,,1
1,0,Beattie, Mr. Thomson,male,NULL,0,0,13050,75.2417,C6,C,NULL,NA,Winnipeg, MN,1
1,1,Beckwith, Mr. Richard Leonard,male,NULL,1,1,11751,52.5542,D35,S,NULL,NA,New York, NY,1
1,1,Beckwith, Mrs. Richard Leonard (Sallie Monypeny),female,NULL,1,1,11751,52.5542,D35,S,NULL,NA,New York, NY,1
1,1,Behr, Mr. Karl Howell,male,NULL,0,0,111369,30,C148,C,NULL,NA,New York, NY,1
1,1,Bidois, Miss. Rosalie,female,NULL,0,0,PC 17757,227.525,,C,NULL,NA,,0
1,1,Bird, Miss. Ellen,female,NULL,0,0,PC 17483,221.7792,C97,S,NULL,NA,,1
1,0,Birnbaum, Mr. Jakob,male,NULL,0,0,13905,26,,C,None,148,San Francisco, CA,0
1,1,Bishop, Mr. Dickinson H,male,NULL,1,0,11967,91.0792,B49,C,NULL,NA,Dowagiac, MI,1
1,1,Bishop, Mrs. Dickinson H (Helen Walton),female,NULL,1,0,11967,91.0792,B49,C,NULL,NA,Dowagiac, MI,1
1,1,Bissette, Miss. Amelia,female,NULL,0,0,PC 17760,135.6333,C99,S,NULL,NA,,1
1,1,Bjornstrom-Steffansson, Mr. Mauritz Hakan,male,NULL,0,0,110564,26.55,C52,S,NULL,NA,Stockholm, Sweden / Washington, DC,1
1,0,Blackwell, Mr. Stephen Weart,male,NULL,0,0,113784,35.5,T,S,None,NA,Trenton, NJ,1
1,1,Blank, Mr. Henry,male,NULL,0,0,112277,31,A31,C,NULL,NA,Glen Ridge, NJ,1
1,1,Bonnell, Miss. Caroline,female,NULL,0,0,36928,164.8667,C7,S,NULL,NA,Youngstown, OH,1
1,1,Bonnell, Miss. Elizabeth,female,NULL,0,0,113783,26.55,C103,S,NULL,NA,Birkdale, England Cleveland, Ohio,1
1,0,Borebank, Mr. John James,male,NULL,0,0,110489,26.55,D22,S,None,NA,London / Winnipeg, MB,1
1,1,Bowen, Miss. Grace Scott,female,NULL,0,0,PC 17608,262.375,,C,NULL,NA,Cooperstown, NY,0
1,1,Bowerman, Miss. Elsie Edith,female,NULL,0,1,113505,55,E33,S,NULL,NA,St Leonards-on-Sea, England Ohio,1
1,1,Bradley, Mr. George ("George Arthur Brayton"),male,NA,0,0,111427,26.55,,S,NULL,NA,Los Angeles, CA,0
1,0,Brady, Mr. John Bertram,male,NULL,0,0,113054,30.5,A21,S,None,NA,Pomeroy, WA,1
1,0,Brandeis, Mr. Emil,male,NULL,0,0,PC 17591,50.4958,B10,C,None,208,Omaha, NE,1
1,0,Brewe, Dr. Arthur Jackson,male,NA,0,0,112379,39.6,,C,None,NA,Philadelphia, PA,0
1,1,Brown, Mrs. James Joseph (Margaret Tobin),female,NULL,0,0,PC 17610,27.7208,B4,C,NULL,NA,Denver, CO,1
1,1,Brown, Mrs. John Murray (Caroline Lane Lamson),female,NULL,2,0,11769,51.4792,C101,S,NULL,NA,Belmont, MA,1
1,1,Bucknell, Mrs. William Robert (Emma Eliza Ward),female,NULL,0,0,11813,76.2917,D15,C,NULL,NA,Philadelphia, PA,1
1,1,Burns, Miss. Elizabeth Margaret,female,NULL,0,0,16966,134.5,E40,C,NULL,NA,,1
1,0,Butt, Major. Archibald Willingham,male,NULL,0,0,113050,26.55,B38,S,None,NA,Washington, DC,1
1,0,Cairns, Mr. Alexander,male,NA,0,0,113798,31,,S,None,NA,,0
1,1,Calderhead, Mr. Edward Pennington,male,NULL,0,0,PC 17476,26.2875,E24,S,NULL,NA,New York, NY,1
1,1,Candee, Mrs. Edward (Helen Churchill Hungerford),female,NULL,0,0,PC 17606,27.4458,,C,NULL,NA,Washington, DC,0
1,1,Cardeza, Mr. Thomas Drake Martinez,male,NULL,0,1,PC 17755,512.3292,B51 B53 B55,C,NULL,NA,Austria-Hungary / Germantown, Philadelphia, PA,1
1,1,Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake),female,NULL,0,1,PC 17755,512.3292,B51 B53 B55,C,NULL,NA,Germantown, Philadelphia, PA,1
1,0,Carlsson, Mr. Frans Olof,male,NULL,0,0,695,5,B51 B53 B55,S,None,NA,New York, NY,1
1,0,Carrau, Mr. Francisco M,male,NULL,0,0,113059,47.1,,S,None,NA,Montevideo, Uruguay,0
1,0,Carrau, Mr. Jose Pedro,male,NULL,0,0,113059,47.1,,S,None,NA,Montevideo, Uruguay,0
1,1,Carter, Master. William Thornton II,male,NULL,1,2,113760,120,B96 B98,S,NULL,NA,Bryn Mawr, PA,1
1,1,Carter, Miss. Lucile Polk,female,NULL,1,2,113760,120,B96 B98,S,NULL,NA,Bryn Mawr, PA,1
1,1,Carter, Mr. William Ernest,male,NULL,1,2,113760,120,B96 B98,S,NULL,NA,Bryn Mawr, PA,1
1,1,Carter, Mrs. William Ernest (Lucile Polk),female,NULL,1,2,113760,120,B96 B98,S,NULL,NA,Bryn Mawr, PA,1
1,0,Case, Mr. Howard Brown,male,NULL,0,0,19924,26,,S,None,NA,Ascot, Berkshire / Rochester, NY,0
1,1,Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick),female,NA,0,0,17770,27.7208,,C,NULL,NA,New York, NY,0
1,0,Cavendish, Mr. Tyrell William,male,NULL,1,0,19877,78.85,C46,S,None,172,Little Onn Hall, Staffs,1
1,1,Cavendish, Mrs. Tyrell William (Julia Florence Siegel),female,NULL,1,0,19877,78.85,C46,S,NULL,NA,Little Onn Hall, Staffs,1
1,0,Chaffee, Mr. Herbert Fuller,male,NULL,1,0,W.E.P. 5734,61.175,E31,S,None,NA,Amenia, ND,1
1,1,Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood),female,NULL,1,0,W.E.P. 5734,61.175,E31,S,NULL,NA,Amenia, ND,1
1,1,Chambers, Mr. Norman Campbell,male,NULL,1,0,113806,53.1,E8,S,NULL,NA,New York, NY / Ithaca, NY,1
1,1,Chambers, Mrs. Norman Campbell (Bertha Griggs),female,NULL,1,0,113806,53.1,E8,S,NULL,NA,New York, NY / Ithaca, NY,1
1,1,Chaudanson, Miss. Victorine,female,NULL,0,0,PC 17608,262.375,B61,C,NULL,NA,,1
1,1,Cherry, Miss. Gladys,female,NULL,0,0,110152,86.5,B77,S,NULL,NA,London, England,1
1,1,Chevre, Mr. Paul Romaine,male,NULL,0,0,PC 17594,29.7,A9,C,NULL,NA,Paris, France,1
1,1,Chibnall, Mrs. (Edith Martha Bowerman),female,NA,0,1,113505,55,E33,S,NULL,NA,St Leonards-on-Sea, England Ohio,1
1,0,Chisholm, Mr. Roderick Robert Crispin,male,NA,0,0,112051,0,,S,None,NA,Liverpool, England / Belfast,0
1,0,Clark, Mr. Walter Miller,male,NULL,1,0,13508,136.7792,C89,C,None,NA,Los Angeles, CA,1
1,1,Clark, Mrs. Walter Miller (Virginia McDowell),female,NULL,1,0,13508,136.7792,C89,C,NULL,NA,Los Angeles, CA,1
1,1,Cleaver, Miss. Alice,female,NULL,0,0,113781,151.55,,S,NULL,NA,,0
1,0,Clifford, Mr. George Quincy,male,NA,0,0,110465,52,A14,S,None,NA,Stoughton, MA,1
